Source:,F:\msys64\home\f14eagle\gitrepo\redox-keyboard-f14\redox-f14\pcb\wingxx_receiver_kicad_files_v2\wingxx-receiver.sch,,,,,,,,,,,,,,
Date:,2020/1/7 21:45,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.2)-2,,,,,,,,,,,,,,
Generator:,F:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,
Component Count:,78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status
9,25,"K1, K2, K3, K4, K5, K11, K12, K13, K14, K15, K21, K22, K23, K24, K25, K31, K32, K33, K34, K35, K41, K42, K43, K44, K45",KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
10,1,PROGR_HEADER1,Conn_01x04_Female,redox-receiver-rescue:Conn_01x04-Connector_Generic,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,,,
11,2,"R1, R2",5.1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
12,2,"R3, R4",22,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
13,1,R5,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
14,1,R6,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
15,3,"R11, R12, R13",1.5K,redox-receiver-rescue:R-Device,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
16,1,RESET1,SW_SPST,redox-receiver-rescue:SW_SPST-Switch,wingxx-receiver:ResetSW,,,,,,,,,,
17,1,U1,ATmega32U4-AU,MCU_Microchip_ATmega:ATmega32U4-AU,Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,,,,,,,,,
18,1,USB1,HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,,,,,,,,,,
19,1,V_REG1,LD1117S33CTR,redox-receiver-rescue:LD1117S33CTR-dk_PMIC-Voltage-Regulators-Linear,redox_w_receiver_footprints:SOT-223,http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,Integrated Circuits (ICs),http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,/product-detail/en/stmicroelectronics/LD1117S33CTR/497-1241-1-ND/586241,IC REG LINEAR 3.3V 800MA SOT223,497-1241-1-ND,PMIC - Voltage Regulators - Linear,LD1117S33CTR,STMicroelectronics,Active
20,1,X1,Crystal_GND24,Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,~,,,,,,,,,
21,1,uC1,YJ-14015,redox-receiver-rescue:Core51822B-core51822b,redox_w_receiver_footprints:MY-YJ-14015-Module,,,,,,,,,,
